,regiao,estado,cidade,drones
2607,Centro-Oeste,MS,Lagoa Bonita,1
2608,Nordeste,CE,Itarema,3
2609,Sul,SC,Vargeão,1
2610,Sudeste,MG,Urucuia,1
2611,Sudeste,MG,Planura,1
2612,Sudeste,MG,Fortaleza de Minas,1
2613,Sudeste,MG,Itaguara,1
2614,Sudeste,MG,Matias Barbosa,2
2615,Sudeste,SP,Estiva Gerbi,5
2616,Sul,PR,Alto Piquiri,1
2617,Sudeste,SP,Jarinu,15
2618,Centro-Oeste,GO,Ouro Verde de Goiás,1
2619,Centro-Oeste,GO,Domiciano Ribeiro,1
2620,Sudeste,SP,Iepê,2
2621,Sudeste,MG,Monte Verde,2
2622,Centro-Oeste,MT,Torixoréu,1
2623,Nordeste,BA,Coronel João Sá,1
2624,Nordeste,MA,Vitorino Freire,1
2625,Sudeste,MG,Pingo-D'Água,1
2626,Sudeste,MG,Olímpio Noronha,3
2627,Sul,PR,Ilha do Mel,1
2628,Nordeste,BA,Barra Grande,1
2629,Centro-Oeste,MT,Ipiranga do Norte,3
2630,Sul,PR,Balsa Nova,1
2631,Norte,RO,Monte Negro,1
2632,Nordeste,RN,Cruzeta,1
2633,Sudeste,MG,São Miguel do Anta,1
2634,Norte,AM,Barreirinha,1
