,regiao,estado,cidade,drones
2104,Norte,PA,Xinguara,5
2105,Nordeste,CE,São Benedito,2
2106,Sul,RS,Nova Boa Vista,1
2107,Sudeste,MG,Jaboticatubas,3
2108,Nordeste,BA,Banzaê,1
2109,Sudeste,MG,Alterosa,6
2110,Sudeste,SP,Rio das Pedras,4
2111,Nordeste,BA,Itagibá,1
2112,Nordeste,CE,Itatira,1
2113,Nordeste,BA,Piatã,3
2114,Nordeste,MA,Porto Franco,3
2115,Centro-Oeste,GO,Indiara,5
2116,Nordeste,RN,Nísia Floresta,2
2117,Nordeste,PE,São Caitano,2
2118,Nordeste,CE,Jordão,1
2119,Centro-Oeste,GO,Niquelândia,4
2120,Nordeste,PE,Iati,3
2121,Norte,PA,Ulianópolis,1
2122,Nordeste,RN,Ipueira,2
2123,Sul,PR,Carlópolis,4
2124,Sudeste,MG,Queluzito,2
2125,Sudeste,MG,Abre Campo,2
2126,Sudeste,MG,Gonçalves,4
2127,Nordeste,PE,Toritama,5
2128,Sudeste,MG,Crucilândia,3
2129,Nordeste,BA,Mucugê,4
2130,Norte,RO,Espigão do Oeste,2
2131,Sudeste,MG,Medina,5
2132,Norte,RO,Costa Marques,2
2133,Sul,RS,Pedras Altas,2
2134,Sudeste,MG,Guaraciaba,1
2135,Sul,PR,Guaraqueçaba,2
2136,Centro-Oeste,MT,Porto Alegre do Norte,4
2137,Sul,PR,Coronel Domingos Soares,1
2138,Sul,PR,Lunardelli,1
2139,Sul,RS,São José do Hortêncio,3
2140,Sul,RS,São Pedro da Serra,1
2141,Sudeste,MG,Caetanópolis,1
2142,Centro-Oeste,GO,Itapirapuã,1
2143,Sul,RS,Triunfo,7
2144,Sudeste,SP,Itariri,2
2145,Centro-Oeste,GO,Vicentinópolis,11
2146,Sudeste,MG,Cajuri,1
2147,Nordeste,PB,Pedra Lavrada,1
2148,Sudeste,MG,Botelhos,2
2149,Nordeste,PB,Boa Ventura,1
2150,Nordeste,PB,Pirpirituba,2
2151,Nordeste,PE,Rio Formoso,1
2152,Sul,PR,Ventania,1
2153,Sudeste,SP,Aldeia de Carapicuíba,1
2154,Nordeste,BA,Teofilândia,1
2155,Nordeste,BA,Muniz Ferreira,1
2156,Sul,SC,Irani,1
2157,Sudeste,ES,Muqui,2
2158,Nordeste,BA,São Felipe,1
2159,Sul,PR,Santa Lúcia,3
2160,Nordeste,BA,Macarani,1
2161,Sudeste,MG,São Roque de Minas,1
2162,Sudeste,RJ,Areal,5
2163,Sudeste,MG,Passagem de Mariana,1
2164,Sul,PR,Santa Cruz de Monte Castelo,1
2165,Sul,PR,Ipiranga,2
2166,Sudeste,MG,Doresópolis,2
2167,Nordeste,MA,Senador La Rocque,1
2168,Sudeste,MG,Sardoá,1
2169,Sudeste,MG,Novo Oriente de Minas,1
2170,Nordeste,BA,Caraíbas,1
2171,Sul,PR,Tunas do Paraná,2
2172,Nordeste,PB,Guarabira,6
2173,Sudeste,MG,Raposos,7
2174,Nordeste,MA,Pindaré Mirim,1
2175,Nordeste,PE,Buíque,1
2176,Nordeste,BA,Araci,4
2177,Nordeste,MA,Itinga do Maranhão,3
2178,Sul,PR,Marumbi,1
2179,Sudeste,SP,Itatinga,1
2180,Sul,PR,Mariópolis,5
2181,Sul,PR,Santa Cecília do Pavão,2
2182,Centro-Oeste,GO,Caiapônia,1
2183,Norte,PA,Santo Antônio do Tauá,1
2184,Sudeste,MG,Manga,1
2185,Sudeste,MG,Naque,1
2186,Nordeste,BA,São Félix do Coribe,3
2187,Sul,SC,Corupá,3
2188,Sul,PR,Tuneiras do Oeste,2
2189,Sul,RS,Picada Café,2
2190,Sudeste,MG,São Vicente de Minas,2
2191,Nordeste,MA,Bacabeira,1
2192,Norte,PA,São Sebastião da Boa Vista,3
2193,Centro-Oeste,GO,Terezópolis de Goiás,1
2194,Norte,PA,Breu Branco,2
